FlightNumber,Origin,Destination,Date,Capacity
AS1684,SEATTLE,DALLAS,1/1/18,100
AS9135,SEATTLE,DALLAS,1/2/18,150
AS8741,SEATTLE,DALLAS,1/3/18,80
AS3521,SEATTLE,DALLAS,1/4/18,100
AS9684,SEATTLE,DALLAS,1/5/18,75
AS8421,SEATTLE,DALLAS,1/6/18,110
AS9952,SEATTLE,DALLAS,1/7/18,100
AS3265,DALLAS,SEATTLE,1/1/18,100
AS7849,DALLAS,SEATTLE,1/2/18,150
AS2154,DALLAS,SEATTLE,1/3/18,80
AS1235,DALLAS,SEATTLE,1/4/18,100
AS9458,DALLAS,SEATTLE,1/5/18,75
AS7784,DALLAS,SEATTLE,1/6/18,110
AS3325,DALLAS,SEATTLE,1/7/18,100
